xx	yy
stadion vtm 19.35	B B O
ronde van frankrijk	B I I
us postal niet .	B I O O
nu wel .	O O O
en hoe ?	O O O
het wordt afwachten .	O O O O
het mislukte .	O O O
van de persagentschappen	O O O
( fc )	O B O
wit : kasparov	O O B
wit : sjirov	O O B
zwart : leko	O O B
de nieuwe opgave	O O O
open : 1 .	B O O O
van onze medewerker	O O O
zwart : sjirov	O O B
wit : anand	O O B
dh6 pf6 20 .	O O O O
genetische afwijking .	O O O
nico stond op .	B O O O
zo was het .	O O O O
ook nu .	O O O
wie kreeg gelijk ?	O O O O
de financiële morgen	B I I
de financiële morgen	B I I
model voor moneypenny	O O B
( foto reuters )	O O B O
( ab )	O B O
van homo's op	O O O
karl van den broeck	B I I I
karl van den broeck	B I I I
wachten , dromen	O O O
na het proces .	O O O O
schrijvers krijgen rare vragen	O O O O
( mr )	O B O
het vrije leven	B I I
veertig jaar valentino .	O O B O
( lb )	O B O
de financiële morgen	B I I
"maar wanneer ? """	O O O O
dat is juist .	O O O O
gevoel van euforie .	O O O O
niemand wil stoppen .	O O O O
de regel ?	O O O
beter dan seks .	O O O O
overal sfeer .	O O O
een uitzondering ?	O O O
van onze verslaggever	O O O
( kdm )	O B O
het zwarte schaap	B I I
zwart voor de ogen	O O O O
café des arts	B I I
café des arts	B I I
veilig en wel .	O O O O
nooit meer vliegen	O O O
en toch .	O O O
het vrije leven	B I I
architectuur en concurrentie	O O O
café des arts	B I I
maar verder ...	O O O
vooraf dan .	O O O
proeven van senegal	O O B
het vrije leven	B I I
café des arts	B I I
toegangsprijs 200 frank .	O O O O
café des arts	B I I
het vrije leven	B I I
café des arts	B I I
het vrije leven	B I I
café des arts	B I I
""" dat klopt ."	O O O O
café des arts	B I I
10de rit :	O O O
17de rit :	O O O
1989 : 1 .	O O O O
1930 : 1 .	O O O O
1952 : 1 .	O O O O
1996 : 1 .	O O O O
1954 : 1 .	O O O O
1967 : 1 .	O O O O
1982 : 1 .	O O O O
1987 : 1 .	O O O O
1965 : 1 .	O O O O
1974 : 1 .	O O O O
1991 : 1 .	O O O O
1951 : 1 .	O O O O
1958 : 1 .	O O O O
1955 : 1 .	O O O O
lucien van impe	B I I
1970 : 1 .	O O O O
1994 : 1 .	O O O O
1988 : 1 .	O O O O
1979 : 1 .	O O O O
1999 : 1 .	O O O O
1972 : 1 .	O O O O
1961 : 1 .	O O O O
1976 : 1 .	O O O O
1966 : 1 .	O O O O
1997 : 1 .	O O O O
1977 : 1 .	O O O O
1998 : 1 .	O O O O
1975 : 1 .	O O O O
1978 : 1 .	O O O O
1985 : 1 .	O O O O
1960 : 1 .	O O O O
1953 : 1 .	O O O O
1986 : 1 .	O O O O
1959 : 1 .	O O O O
1984 : 1 .	O O O O
1957 : 1 .	O O O O
1990 : 1 .	O O O O
1992 : 1 .	O O O O
1948 : 1 .	O O O O
1983 : 1 .	O O O O
lucien van impe	B I I
1956 : 1 .	O O O O
1971 : 1 .	O O O O
1993 : 1 .	O O O O
1995 : 1 .	O O O O
1981 : 1 .	O O O O
1969 : 1 .	O O O O
1963 : 1 .	O O O O
lucien van impe	B I I
1973 : 1 .	O O O O
1962 : 1 .	O O O O
1980 : 1 .	O O O O
1964 : 1 .	O O O O
1968 : 1 .	O O O O
1972 : eddy merckx	O O B I
1976 : freddy maertens	O O B I
1966 : willy planckaert	O O B I
1967 : j. janssen	O O B I
1956 : stan ockers	O O B I
1984 : frank hoste	O O B I
1969 : eddy merckx	O O B I
1981 : freddy maertens	O O B I
1988 : eddy planckaert	O O B I
1965 : j. janssen	O O B I
1971 : eddy merckx	O O B I
1955 : stan ockers	O O B I
1964 : j. janssen	O O B I
1978 : freddy maertens	O O B I
1969 : eddy merckx	O O B I
1970 : eddy merckx	O O B I
het vrije leven	B I I
het vrije leven	B I I
hilde de decker	B I I
hilde de decker	B I I
maandag gesloten .	O O O
""" hard ?"	O O O
' allochtonen ?	O O O
denkt na .	O O O
heel goed zelfs '	O O O O
dus thuis ook .	O O O O
het vrije leven	B I I
brussel , tent .	B O O O
' japan .	O B O
vormgeving , rotterdam	O O B
mode , parijs	O O B
vormgeving , brussel	O O B
mode , hasselt	O O B
vormgeving , amsterdam	O O B
architectuur , brussel	O O B
mode , brussel	O O B
vormgeving , antwerpen	O O B
en ook tent .	O O O O
' het stadion .	O B I O
het vrije leven	B I I
architectuur , rotterdam	O O B
mode , den haag	O O B I
het vrije leven	B I I
helemaal niet zelfs .	O O O O
het vrije leven	B I I
het vrije leven	B I I
het vrije leven	B I I
het vrije leven	B I I
zondag gesloten .	O O O
vrije toegang bij :	O O O O
tuinen van morgen	O O O
beelden in het park	O O O O
het vrije leven	B I I
op is op .	O O O O
het vrije leven	B I I
we willen meer !	O O O O
het vrije leven	B I I
botervis en balkenbrij	O O O
dat was het !	O O O O
aan een ziekte ?	O O O O
vragen zonder antwoorden .	O O O O
""" pu shenfu !"	O B I O
' pu shenfu !	O B I O
het vrije leven	B I I
vertaling : wim coessens	O O B I
het vrije leven	B I I
douglas de coninck	B I I
de financiële morgen	B I I
heel veel .	O O O
meer hoefde niet .	O O O O
café des arts	B I I
tussen noord en zuid	O O O O
behalve gisterenavond misschien .	O O O O
dat is leuk .	O O O O
drie op vijf ?	O O O O
zijn troeven ?	O O O
ook niet .	O O O
""" niet noodzakelijk ."	O O O O
vierde citaat .	O O O
""" afgesproken . """	O O O O
theater in frankrijk ?	O O B O
verdacht toch wel .	O O O O
foto's rv .	O B O
nee , dus .	O O O O
het vrije leven	B I I
wie doet zoiets ?	O O O O
foto belga .	O B O
het vrije leven	B I I
""" nee !"	O O O
sophie de schaepdrijver	B I I
een trend !	O O O
dat soort dingen .	O O O O
bridget jones .	B I O
dat soort dingen .	O O O O
' ) .	O O O
de grote stad .	O O O O
sophie de schaepdrijver	B I I
niet de luxe .	O O O O
wat kan beter ?	O O O O
wat kost het ?	O O O O
niet het interieur .	O O O O
het vrije leven	B I I
we schrijven 1995 .	O O O O
het vrije leven	B I I
de jacht op schoonheid	O O O O
café des arts	B I I
ze was dood .	O O O O
douglas de coninck	B I I
brieven schrijven .	O O O
douglas de coninck	B I I
( foto belga )	O O B O
r. buckminster fuller .	B I I O
café des arts	B I I
douglas de coninck	B I I
het vrije leven	B I I
in 10 zomerse glazen	O O O O
de wereld rond	O O O
